MODE,SYMBOL,TIME-OPEN,TIME-CLOSE,RESULT
short,THETAUSDT,29:13:22:38,29:13:23:38,
short,KSMUSDT,29:13:22:46,29:13:23:46,
short,SOLUSDC,29:13:22:47,29:13:23:47,
short,TWTUSDT,29:13:22:58,29:13:23:58,
long,ICPUSDT,29:13:22:59,29:13:23:59,
long,C98USDT,29:13:23:25,29:13:24:25,
long,BADGERUSDT,29:13:23:37,29:13:24:37,
short,ONEUSDT,29:13:23:45,29:13:24:45,
long,PERPUSDT,29:13:23:46,29:13:24:46,
short,RADUSDT,29:13:24:10,29:13:25:10,
long,IOTAUSDT,29:13:24:11,29:13:25:11,
short,CELOUSDT,29:13:24:16,29:13:25:16,
long,DASHUSDT,29:13:24:17,29:13:25:17,
short,OCEANUSDT,29:13:24:22,29:13:25:22,
long,UMAUSDT,29:13:24:37,29:13:25:37,
long,AVAXUSDT,29:13:24:50,29:13:25:50,
long,RDNTUSDT,29:13:24:52,29:13:25:52,
short,ZENUSDT,29:13:25:19,29:13:26:19,
long,ARPAUSDT,29:13:25:22,29:13:26:22,
long,MAGICUSDT,29:13:25:22,29:13:26:22,
long,LINAUSDT,29:13:25:25,29:13:26:26,
long,BLURUSDT,29:13:25:40,29:13:26:40,
long,1INCHUSDT,29:13:25:41,29:13:26:41,
long,NKNUSDT,29:13:25:48,29:13:26:48,
long,QTUMUSDT,29:13:25:53,29:13:26:53,
long,AXSUSDT,29:13:25:55,29:13:26:55,
long,MINAUSDT,29:13:25:58,29:13:26:58,
short,SOLUSDT,29:13:26:5,29:13:27:5,
long,FLMUSDT,29:13:26:6,29:13:27:6,
long,GRTUSDT,29:13:26:12,29:13:27:12,
long,OMGUSDT,29:13:26:15,29:13:27:15,
long,KAVAUSDT,29:13:26:19,29:13:27:19,
long,JTOUSDT,29:13:26:26,29:13:27:27,
long,SOLUSDC,29:13:26:30,29:13:27:30,
long,TRUUSDT,29:13:26:33,29:13:27:33,
long,ETCUSDT,29:13:26:35,29:13:27:35,
long,ORDIUSDT,29:13:26:36,29:13:27:36,
long,MOVRUSDT,29:13:26:44,29:13:27:44,
long,DENTUSDT,29:13:26:45,29:13:27:45,
long,STRAXUSDT,29:13:26:46,29:13:27:46,
long,CVXUSDT,29:13:26:48,29:13:27:48,
long,DARUSDT,29:13:26:49,29:13:27:49,
long,TLMUSDT,29:13:26:49,29:13:27:49,
long,ILVUSDT,29:13:26:51,29:13:27:51,
long,ZECUSDT,29:13:26:56,29:13:27:56,
long,BNXUSDT,29:13:27:3,29:13:28:3,
long,ANKRUSDT,29:13:27:5,29:13:28:5,
long,COTIUSDT,29:13:27:7,29:13:28:7,
long,AGIXUSDT,29:13:27:9,29:13:28:9,
long,PHBUSDT,29:13:27:11,29:13:28:11,
long,NEOUSDT,29:13:27:11,29:13:28:11,
long,SXPUSDT,29:13:27:13,29:13:28:13,
long,BELUSDT,29:13:27:14,29:13:28:14,
long,BALUSDT,29:13:27:16,29:13:28:16,
long,PEOPLEUSDT,29:13:27:23,29:13:28:23,
long,HIGHUSDT,29:13:27:25,29:13:28:25,
long,AGLDUSDT,29:13:27:25,29:13:28:25,
long,FTMUSDT,29:13:27:29,29:13:28:29,
long,IDUSDT,29:13:27:32,29:13:28:32,
long,IOSTUSDT,29:13:27:34,29:13:28:34,
long,SFPUSDT,29:13:27:34,29:13:28:34,
long,FRONTUSDT,29:13:27:35,29:13:28:35,
long,SNXUSDT,29:13:27:39,29:13:28:39,
long,XLMUSDT,29:13:27:44,29:13:28:44,
long,CELRUSDT,29:13:27:53,29:13:28:53,
long,ZILUSDT,29:13:27:56,29:13:28:56,
long,STXUSDT,29:13:27:56,29:13:28:56,
long,FETUSDT,29:13:28:0,29:13:29:0,
long,AMBUSDT,29:13:28:3,29:13:29:3,
long,ALGOUSDT,29:13:28:3,29:13:29:3,
long,ARUSDT,29:13:28:8,29:13:29:8,
long,FLOWUSDT,29:13:28:27,29:13:29:27,
long,TWTUSDT,29:13:28:30,29:13:29:30,
long,SSVUSDT,29:13:28:46,29:13:29:46,
long,POLYXUSDT,29:13:28:55,29:13:29:55,
long,NEARUSDT,29:13:29:8,30:13:30:8,
long,STGUSDT,29:13:29:9,30:13:30:9,
long,1000SATSUSDT,29:13:29:14,30:13:30:14,
long,ACHUSDT,29:13:29:18,30:13:30:18,
long,GTCUSDT,29:13:29:20,30:13:30:20,
long,RLCUSDT,29:13:29:21,30:13:30:21,
long,BNBUSDC,29:13:29:35,30:13:30:35,
long,RADUSDT,29:13:29:39,30:13:30:39,
long,SCUSDT,29:13:29:41,30:13:30:41,
long,BICOUSDT,29:13:29:41,30:13:30:41,
long,MKRUSDT,29:13:29:47,30:13:30:47,
long,HOOKUSDT,29:13:29:55,30:13:30:55,
long,HBARUSDT,29:13:29:57,30:13:30:57,
long,OGNUSDT,29:13:30:1,29:13:31:1,
long,ATAUSDT,29:13:30:2,29:13:31:2,
long,ENJUSDT,29:13:30:3,29:13:31:3,
long,CHZUSDT,29:13:30:10,29:13:31:10,
long,AUDIOUSDT,29:13:30:16,29:13:31:16,
long,LQTYUSDT,29:13:30:32,29:13:31:32,
long,CRVUSDT,29:13:30:36,29:13:31:36,
long,MAVUSDT,29:13:30:42,29:13:31:42,
long,SPELLUSDT,29:13:30:44,29:13:31:44,
long,CKBUSDT,29:13:30:48,29:13:31:48,
long,BNTUSDT,29:13:30:58,29:13:31:58,
long,YFIUSDT,29:13:30:58,29:13:31:58,
long,PENDLEUSDT,29:13:30:59,29:13:31:59,
long,SUSHIUSDT,29:13:31:3,29:13:32:3,
long,NFPUSDT,29:13:31:10,29:13:32:10,
long,BTCUSDC,29:13:31:29,29:13:32:29,
